date_and_time, travel_mode, x_acc [m/s^2], y_acc [m/s^2], z_acc [m/s^2], x_grav [m/s^2], y_grav [m/s^2], z_grav [m/s^2], x_lin_acc [m/s^2], y_lin_acc [m/s^2], z_lin_acc [m/s^2], x_gryo [rad/s], y_gyro [rad/s], z_gyro [rad/s], light [lux], x_mag [uT], y_mag [uT], z_mag [uT], x_orient [deg], y_orient [deg], z_orient [deg], prox [cm], sound_lvl [db] 
2014_11_30 15:10:27.649, walking, 0.095342435, -0.2860273, 10.18802, 0.09075494, -0.2570911, 9.802859, 0.004587494, -0.028936207, 0.4124012, 0.008246681, -0.0070249503, 0.0018325958, 100.0, 22.859999, 21.42, 53.94, -0.774942, 0.026219001, -0.009257743, 5.0, null 
2014_11_30 15:10:28.264, walking, 0.12258313, -0.24516626, 10.160779, 0.09628354, -0.2580425, 9.802782, 0.026299588, 0.012876257, 0.35799694, 0.010079277, -0.01038471, 0.0027488936, 100.0, 22.74, 21.72, 53.699997, -0.7651152, 0.02631605, -0.009821747, 5.0, null 
2014_11_30 15:10:28.775, walking, 0.08172209, -0.24516626, 10.119919, 0.09167733, -0.25436458, 9.802922, 0.017285451, -0.031662732, 0.31699657, 0.003970624, -0.01038471, -0.0061086523, 100.0, 23.1, 21.539999, 53.82, -0.3065763, 1.2459434, -1.2793396, 5.0, null 
2014_11_30 15:10:29.319, walking, 0.06810174, -0.25878662, 10.228881, 0.08098689, -0.2525802, 9.803062, -0.012885146, -0.006206423, 0.42581844, 0.0061086523, -0.009773844, 3.0543262E-4, 100.0, 23.1, 21.24, 53.94, -0.78598356, 0.025758859, -0.008261199, 5.0, null 
2014_11_30 15:10:29.834, walking, 0.095342435, -0.24516626, 10.174399, 0.07828106, -0.24480622, 9.803282, 0.017061375, -3.6004186E-4, 0.3711176, 0.009162978, -0.007330383, -0.0033597588, 100.0, 22.859999, 21.359999, 53.52, -0.7795928, 0.024965879, -0.00798502, 5.0, null 
2014_11_30 15:10:30.368, walking, 0.12258313, -0.29964766, 10.147159, 0.08882273, -0.2538902, 9.80296, 0.0337604, -0.045757473, 0.34419823, 0.0076358155, -0.007941248, -0.005497787, 100.0, 22.619999, 21.3, 53.94, -0.7728112, 0.025892487, -0.00906056, 5.0, null 
2014_11_30 15:10:30.879, walking, 0.10896278, -0.27240697, 10.133538, 0.095280595, -0.25797066, 9.8027935, 0.040922888, 0.012804404, 0.34436512, 0.007941248, -0.009468411, 0.0027488936, 100.0, 22.74, 21.42, 53.52, -0.7719133, 0.026308721, -0.009719433, 5.0, null 
2014_11_30 15:10:31.417, walking, 0.095342435, -0.27240697, 10.283362, 0.09111849, -0.25343734, 9.802951, 0.0042239428, -0.018969625, 0.48041153, 0.007330383, -0.009773844, 0.004581489, 100.0, 22.68, 21.24, 53.579998, -0.77553403, 0.025846293, -0.009294739, 5.0, null 
2014_11_30 15:10:32.010, walking, 0.095342435, -0.24516626, 10.160779, 0.090495855, -0.24686006, 9.803124, 0.0048465803, 0.0016938001, 0.41213608, 0.008857546, -0.01038471, -0.003970624, 100.0, 23.16, 21.3, 54.12, -0.7853654, 0.02517538, -0.009231065, 5.0, null 
2014_11_30 15:10:32.619, walking, 0.095342435, -0.27240697, 10.2152605, 0.08341273, -0.25110584, 9.80308, 0.011929706, -0.02130112, 0.4121809, 0.009162978, -0.009773844, 0.0030543262, 100.0, 23.58, 21.06, 53.579998, -0.8006127, 0.025608469, -0.008508624, 5.0, null 
2014_11_30 15:10:33.150, walking, 0.095342435, -0.25878662, 10.242501, 0.08069265, -0.24109252, 9.803354, 0.014649786, -0.0176941, 0.34380436, 0.006414085, -0.0125227375, 0.0021380284, 100.0, 23.16, 21.18, 53.76, -0.79019314, 0.024587072, -0.00823094, 5.0, null 
2014_11_30 15:10:33.670, walking, 0.027240695, -0.21792556, 10.119919, 0.08173795, -0.24374436, 9.80328, -0.054497257, 0.025818795, 0.31663895, 0.010995574, -0.01160644, -0.0012217305, 100.0, 22.14, 21.42, 53.219997, -0.7618811, 0.024857566, -0.008337623, 5.0, null 
2014_11_30 15:10:34.270, walking, 0.12258313, -0.25878662, 10.20164, 0.079608634, -0.23690051, 9.803465, 0.042974494, -0.02188611, 0.39817524, 0.007941248, -0.003970624, 0.0027488936, 100.0, 22.199999, 21.66, 53.28, 1.0846572, 0.5580384, -1.6207547, 5.0, null 
2014_11_30 15:10:34.826, walking, 0.08172209, -0.2860273, 10.2152605, 0.07957546, -0.2405601, 9.803376, 0.0021466315, -0.045467213, 0.4118843, 0.011301007, -0.008857546, 0.005497787, 100.0, 22.5, 21.48, 53.399998, -0.7693011, 0.024532763, -0.00811697, 5.0, null 
2014_11_30 15:10:35.409, walking, 0.095342435, -0.24516626, 10.133538, 0.0922689, -0.24249765, 9.803217, 0.0030735359, 0.0109517425, 0.42566395, 0.009162978, -0.008857546, 0.0036651916, 100.0, 22.859999, 21.539999, 53.64, -0.7740996, 0.0247304, -0.009411827, 5.0, null 
2014_11_30 15:10:35.931, walking, 0.14982383, -0.27240697, 10.147159, 0.10062581, -0.2466525, 9.803031, 0.049198017, -0.025754467, 0.34412766, 0.0061086523, -0.008246681, -0.005192355, 100.0, 22.98, 21.119999, 53.28, -0.7847891, 0.025154207, -0.010264405, 5.0, null 
